Day,Question Name,Leet Code Link,Neet Code Link,Difficulty,Category
1,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,https://neetcode.io/problems/duplicate-integer,Easy,Arrays & Hashing
2,Valid Anagram,https://leetcode.com/problems/valid-anagram/,https://neetcode.io/problems/is-anagram,Easy,Arrays & Hashing
3,Two Sum,https://leetcode.com/problems/two-sum/,https://neetcode.io/problems/two-integer-sum,Easy,Arrays & Hashing
4,Group Anagrams,https://leetcode.com/problems/group-anagrams/,https://neetcode.io/problems/anagram-groups,Medium,Arrays & Hashing
5,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,https://neetcode.io/problems/top-k-elements-in-list,Medium,Arrays & Hashing
6,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,https://neetcode.io/problems/string-encode-and-decode,Medium,Arrays & Hashing
7,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,https://neetcode.io/problems/trapping-rain-water,Hard,Two Pointers
8,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,https://neetcode.io/problems/minimum-window-with-characters,Hard,Sliding Window
9,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,https://neetcode.io/problems/sliding-window-maximum,Hard,Sliding Window
10,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,https://neetcode.io/problems/is-palindrome,Easy,Two Pointers
11,Best Time to Buy And Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,https://neetcode.io/problems/buy-and-sell-crypto,Easy,Sliding Window
12,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,https://neetcode.io/problems/validate-parentheses,Easy,Stack
13,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,https://neetcode.io/problems/products-of-array-discluding-self,Medium,Arrays & Hashing
14,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,https://neetcode.io/problems/valid-sudoku,Medium,Arrays & Hashing
15,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,https://neetcode.io/problems/longest-consecutive-sequence,Medium,Arrays & Hashing
