Day,Question Name,Leet Code Link,Neet Code Link,Difficulty,Category
1,Meeting Rooms,https://leetcode.com/problems/meeting-rooms/,https://neetcode.io/problems/meeting-schedule,Easy,Intervals
2,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,https://neetcode.io/problems/validate-parentheses,Easy,Stack
3,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,https://neetcode.io/problems/duplicate-integer,Easy,Arrays & Hashing
4,Group Anagrams,https://leetcode.com/problems/group-anagrams/,https://neetcode.io/problems/anagram-groups,Medium,Arrays & Hashing
5,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,https://neetcode.io/problems/search-2d-matrix,Medium,Binary Search
6,Rotate Image,https://leetcode.com/problems/rotate-image/,https://neetcode.io/problems/rotate-matrix,Medium,Math & Geometry
7,Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query/,https://neetcode.io/problems/minimum-interval-including-query,Hard,Intervals
8,Word Ladder,https://leetcode.com/problems/word-ladder/,https://neetcode.io/problems/word-ladder,Hard,Graphs
9,N Queens,https://leetcode.com/problems/n-queens/,https://neetcode.io/problems/n-queens,Hard,Backtracking
10,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,https://neetcode.io/problems/invert-a-binary-tree,Easy,Trees
11,Happy Number,https://leetcode.com/problems/happy-number/,https://neetcode.io/problems/non-cyclical-number,Easy,Math & Geometry
12,Plus One,https://leetcode.com/problems/plus-one/,https://neetcode.io/problems/plus-one,Easy,Math & Geometry
13,Insert Interval,https://leetcode.com/problems/insert-interval/,https://neetcode.io/problems/insert-new-interval,Medium,Intervals
14,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,https://neetcode.io/problems/maximum-subarray,Medium,Greedy
15,Number of Islands,https://leetcode.com/problems/number-of-islands/,https://neetcode.io/problems/count-number-of-islands,Medium,Graphs
16,Word Search II,https://leetcode.com/problems/word-search-ii/,https://neetcode.io/problems/search-for-word-ii,Hard,Tries
17,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,https://neetcode.io/problems/trapping-rain-water,Hard,Two Pointers
18,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,https://neetcode.io/problems/merge-k-sorted-linked-lists,Hard,Linked List
19,Kth Largest Element In a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/,https://neetcode.io/problems/kth-largest-integer-in-a-stream,Easy,Heap / Priority Queue
20,Binary Search,https://leetcode.com/problems/binary-search/,https://neetcode.io/problems/binary-search,Easy,Binary Search
21,Valid Anagram,https://leetcode.com/problems/valid-anagram/,https://neetcode.io/problems/is-anagram,Easy,Arrays & Hashing
22,Implement Trie Prefix Tree,https://leetcode.com/problems/implement-trie-prefix-tree/,https://neetcode.io/problems/implement-prefix-tree,Medium,Tries
23,Unique Paths,https://leetcode.com/problems/unique-paths/,https://neetcode.io/problems/count-paths,Medium,2-D Dynamic Programming
24,Min Cost to Connect All Points,https://leetcode.com/problems/min-cost-to-connect-all-points/,https://neetcode.io/problems/min-cost-to-connect-points,Medium,Advanced Graphs
25,Largest Rectangle In Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,https://neetcode.io/problems/largest-rectangle-in-histogram,Hard,Stack
26,Reverse Nodes In K Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,https://neetcode.io/problems/reverse-nodes-in-k-group,Hard,Linked List
27,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,https://neetcode.io/problems/binary-tree-maximum-path-sum,Hard,Trees
28,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,https://neetcode.io/problems/reverse-a-linked-list,Easy,Linked List
29,Best Time to Buy And Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,https://neetcode.io/problems/buy-and-sell-crypto,Easy,Sliding Window
30,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,https://neetcode.io/problems/depth-of-binary-tree,Easy,Trees
31,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,https://neetcode.io/problems/eating-bananas,Medium,Binary Search
32,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,https://neetcode.io/problems/lowest-common-ancestor-in-binary-search-tree,Medium,Trees
33,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,https://neetcode.io/problems/k-closest-points-to-origin,Medium,Heap / Priority Queue
34,Serialize And Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,https://neetcode.io/problems/serialize-and-deserialize-binary-tree,Hard,Trees
35,Longest Increasing Path In a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,https://neetcode.io/problems/longest-increasing-path-in-matrix,Hard,2-D Dynamic Programming
36,Find Median From Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,https://neetcode.io/problems/find-median-in-a-data-stream,Hard,Heap / Priority Queue
37,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,https://neetcode.io/problems/climbing-stairs,Easy,1-D Dynamic Programming
38,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,https://neetcode.io/problems/is-palindrome,Easy,Two Pointers
39,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,https://neetcode.io/problems/min-cost-climbing-stairs,Easy,1-D Dynamic Programming
40,Jump Game,https://leetcode.com/problems/jump-game/,https://neetcode.io/problems/jump-game,Medium,Greedy
41,Min Stack,https://leetcode.com/problems/min-stack/,https://neetcode.io/problems/minimum-stack,Medium,Stack
42,Merge Intervals,https://leetcode.com/problems/merge-intervals/,https://neetcode.io/problems/merge-intervals,Medium,Intervals
43,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,https://neetcode.io/problems/minimum-window-with-characters,Hard,Sliding Window
44,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,https://neetcode.io/problems/count-subsequences,Hard,2-D Dynamic Programming
45,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,https://neetcode.io/problems/median-of-two-sorted-arrays,Hard,Binary Search
46,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,https://neetcode.io/problems/merge-two-sorted-linked-lists,Easy,Linked List
47,Two Sum,https://leetcode.com/problems/two-sum/,https://neetcode.io/problems/two-integer-sum,Easy,Arrays & Hashing
48,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,https://neetcode.io/problems/binary-tree-diameter,Easy,Trees
49,Reorder List,https://leetcode.com/problems/reorder-list/,https://neetcode.io/problems/reorder-linked-list,Medium,Linked List
50,Kth Largest Element In An Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,https://neetcode.io/problems/kth-largest-element-in-an-array,Medium,Heap / Priority Queue
51,Non Overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,https://neetcode.io/problems/non-overlapping-intervals,Medium,Intervals
52,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/,https://neetcode.io/problems/reconstruct-flight-path,Hard,Advanced Graphs
53,Swim In Rising Water,https://leetcode.com/problems/swim-in-rising-water/,https://neetcode.io/problems/swim-in-rising-water,Hard,Advanced Graphs
54,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/,https://neetcode.io/problems/foreign-dictionary,Hard,Advanced Graphs
55,Single Number,https://leetcode.com/problems/single-number/,https://neetcode.io/problems/single-number,Easy,Bit Manipulation
56,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,https://neetcode.io/problems/balanced-binary-tree,Easy,Trees
57,Last Stone Weight,https://leetcode.com/problems/last-stone-weight/,https://neetcode.io/problems/last-stone-weight,Easy,Heap / Priority Queue
58,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,https://neetcode.io/problems/meeting-schedule-ii,Medium,Intervals
59,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,https://neetcode.io/problems/remove-node-from-end-of-linked-list,Medium,Linked List
60,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,https://neetcode.io/problems/level-order-traversal-of-binary-tree,Medium,Trees
61,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,https://neetcode.io/problems/sliding-window-maximum,Hard,Sliding Window
62,Burst Balloons,https://leetcode.com/problems/burst-balloons/,https://neetcode.io/problems/burst-balloons,Hard,2-D Dynamic Programming
63,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,https://neetcode.io/problems/regular-expression-matching,Hard,2-D Dynamic Programming
64,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,https://neetcode.io/problems/linked-list-cycle-detection,Easy,Linked List
65,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,https://neetcode.io/problems/number-of-one-bits,Easy,Bit Manipulation
66,Counting Bits,https://leetcode.com/problems/counting-bits/,https://neetcode.io/problems/counting-bits,Easy,Bit Manipulation
67,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,https://neetcode.io/problems/longest-substring-without-duplicates,Medium,Sliding Window
68,Network Delay Time,https://leetcode.com/problems/network-delay-time/,https://neetcode.io/problems/network-delay-time,Medium,Advanced Graphs
69,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,https://neetcode.io/problems/cheapest-flight-path,Medium,Advanced Graphs
70,Reverse Bits,https://leetcode.com/problems/reverse-bits/,https://neetcode.io/problems/reverse-bits,Easy,Bit Manipulation
71,Missing Number,https://leetcode.com/problems/missing-number/,https://neetcode.io/problems/missing-number,Easy,Bit Manipulation
72,Same Tree,https://leetcode.com/problems/same-tree/,https://neetcode.io/problems/same-binary-tree,Easy,Trees
73,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,https://neetcode.io/problems/subtree-of-a-binary-tree,Easy,Trees
74,House Robber,https://leetcode.com/problems/house-robber/,https://neetcode.io/problems/house-robber,Medium,1-D Dynamic Programming
75,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,https://neetcode.io/problems/top-k-elements-in-list,Medium,Arrays & Hashing
76,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,https://neetcode.io/problems/evaluate-reverse-polish-notation,Medium,Stack
77,Find Minimum In Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,https://neetcode.io/problems/find-minimum-in-rotated-sorted-array,Medium,Binary Search
78,House Robber II,https://leetcode.com/problems/house-robber-ii/,https://neetcode.io/problems/house-robber-ii,Medium,1-D Dynamic Programming
79,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,https://neetcode.io/problems/longest-repeating-substring-with-replacement,Medium,Sliding Window
80,Design Add And Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,https://neetcode.io/problems/design-word-search-data-structure,Medium,Tries
81,Jump Game II,https://leetcode.com/problems/jump-game-ii/,https://neetcode.io/problems/jump-game-ii,Medium,Greedy
82,Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,https://neetcode.io/problems/sum-of-two-integers,Medium,Bit Manipulation
83,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,https://neetcode.io/problems/longest-common-subsequence,Medium,2-D Dynamic Programming
84,Copy List With Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,https://neetcode.io/problems/copy-linked-list-with-random-pointer,Medium,Linked List
85,Search In Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://neetcode.io/problems/find-target-in-rotated-sorted-array,Medium,Binary Search
86,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,https://neetcode.io/problems/generate-parentheses,Medium,Stack
87,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,https://neetcode.io/problems/string-encode-and-decode,Medium,Arrays & Hashing
88,Time Based Key Value Store,https://leetcode.com/problems/time-based-key-value-store/,https://neetcode.io/problems/time-based-key-value-store,Medium,Binary Search
